checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
<0,critical/other existing credit,radio/tv,1169,no known savings,>=7,male single,67,skilled,good
0<=X<200,existing paid,radio/tv,5951,<100,1<=X<4,female div/dep/mar,22,skilled,bad
no checking,critical/other existing credit,education,2096,<100,4<=X<7,male single,49,unskilled resident,good
<0,existing paid,furniture/equipment,7882,<100,4<=X<7,male single,45,skilled,good
<0,delayed previously,new car,4870,<100,1<=X<4,male single,53,skilled,bad
no checking,existing paid,education,9055,no known savings,1<=X<4,male single,35,unskilled resident,good
no checking,existing paid,furniture/equipment,2835,500<=X<1000,>=7,male single,53,skilled,good
0<=X<200,existing paid,used car,6948,<100,1<=X<4,male single,35,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,3059,>=1000,4<=X<7,male div/sep,61,unskilled resident,good
0<=X<200,critical/other existing credit,new car,5234,<100,unemployed,male mar/wid,28,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,1295,<100,<1,female div/dep/mar,25,skilled,bad
<0,existing paid,business,4308,<100,<1,female div/dep/mar,24,skilled,bad
0<=X<200,existing paid,radio/tv,1567,<100,1<=X<4,female div/dep/mar,22,skilled,good
<0,critical/other existing credit,new car,1199,<100,>=7,male single,60,unskilled resident,bad
<0,existing paid,new car,1403,<100,1<=X<4,female div/dep/mar,28,skilled,good
<0,existing paid,radio/tv,1282,100<=X<500,1<=X<4,female div/dep/mar,32,unskilled resident,bad
no checking,critical/other existing credit,radio/tv,2424,no known savings,>=7,male single,53,skilled,good
<0,no credits/all paid,business,8072,no known savings,<1,male single,25,skilled,good
0<=X<200,existing paid,used car,12579,<100,>=7,female div/dep/mar,44,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,3430,500<=X<1000,>=7,male single,31,skilled,good
no checking,critical/other existing credit,new car,2134,<100,1<=X<4,male single,48,skilled,good
<0,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,male single,44,skilled,good
<0,critical/other existing credit,new car,2241,<100,<1,male single,48,unskilled resident,good
0<=X<200,critical/other existing credit,used car,1804,100<=X<500,<1,male single,44,skilled,good
no checking,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,male mar/wid,26,skilled,good
<0,existing paid,furniture/equipment,1374,<100,1<=X<4,male single,6,unskilled resident,good
no checking,no credits/all paid,radio/tv,426,<100,>=7,male mar/wid,39,unskilled resident,good
>=200,all paid,radio/tv,409,>=1000,1<=X<4,female div/dep/mar,42,skilled,good
0<=X<200,existing paid,radio/tv,2415,<100,1<=X<4,male single,34,skilled,good
<0,delayed previously,business,6836,<100,>=7,male single,63,skilled,bad
0<=X<200,existing paid,business,1913,>=1000,<1,male mar/wid,36,skilled,good
<0,existing paid,furniture/equipment,4020,<100,1<=X<4,male single,27,skilled,good
0<=X<200,existing paid,new car,5866,100<=X<500,1<=X<4,male single,30,skilled,good
no checking,critical/other existing credit,business,1264,no known savings,>=7,male single,57,unskilled resident,good
>=200,existing paid,furniture/equipment,1474,<100,<1,female div/dep/mar,33,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,radio/tv,4746,<100,<1,male single,25,unskilled resident,bad
no checking,critical/other existing credit,education,6110,<100,1<=X<4,male single,31,skilled,good
>=200,existing paid,radio/tv,2100,<100,1<=X<4,male single,37,skilled,bad
>=200,existing paid,domestic appliance,1225,<100,1<=X<4,male single,37,skilled,good
0<=X<200,existing paid,radio/tv,458,<100,1<=X<4,male single,24,skilled,good
no checking,existing paid,radio/tv,2333,500<=X<1000,>=7,male single,30,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,male div/sep,26,skilled,good
0<=X<200,delayed previously,repairs,6204,<100,1<=X<4,male single,44,unskilled resident,good
<0,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,male mar/wid,24,skilled,good
<0,critical/other existing credit,used car,6143,<100,>=7,female div/dep/mar,58,unskilled resident,bad
no checking,critical/other existing credit,new car,1393,<100,<1,female div/dep/mar,35,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,2299,500<=X<1000,>=7,male single,39,skilled,good
<0,existing paid,used car,1352,500<=X<1000,unemployed,female div/dep/mar,23,unemp/unskilled non res,good
no checking,critical/other existing credit,new car,7228,<100,1<=X<4,male single,39,unskilled resident,good
no checking,existing paid,radio/tv,2073,100<=X<500,1<=X<4,female div/dep/mar,28,skilled,good
0<=X<200,delayed previously,furniture/equipment,2333,no known savings,<1,male single,29,unskilled resident,good
0<=X<200,delayed previously,used car,5965,<100,>=7,male single,30,high qualif/self emp/mgmt,good
